TimeStamp: 2024-05-08T13:51:39.481    Log Level: INFO   Message:Starting app
TimeStamp: 2024-05-08T13:51:39.482    Log Level: Event   Message:Opening orders.csv
TimeStamp: 2024-05-08T13:51:39.634    Log Level: Event   Message:Starting applying rules
TimeStamp: 2024-05-08T13:51:39.738    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.738    Log Level: Info   Message:This order has no discounts
TimeStamp: 2024-05-08T13:51:39.739    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.739    Log Level: Info   Message:This order has a discount= 11.0
TimeStamp: 2024-05-08T13:51:39.740    Log Level: Info   Message:This order has a discount= 3.5
TimeStamp: 2024-05-08T13:51:39.740    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.742    Log Level: Info   Message:This order has a discount= 4.5
TimeStamp: 2024-05-08T13:51:39.742    Log Level: Info   Message:This order has a discount= 7.5
TimeStamp: 2024-05-08T13:51:39.743    Log Level: Info   Message:This order has a discount= 16.5
TimeStamp: 2024-05-08T13:51:39.744    Log Level: Info   Message:This order has a discount= 7.5
TimeStamp: 2024-05-08T13:51:39.745    Log Level: Info   Message:This order has no discounts
TimeStamp: 2024-05-08T13:51:39.745    Log Level: Info   Message:This order has a discount= 2.5
TimeStamp: 2024-05-08T13:51:39.746    Log Level: Info   Message:This order has a discount= 8.0
TimeStamp: 2024-05-08T13:51:39.746    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.747    Log Level: Info   Message:This order has a discount= 3.5
TimeStamp: 2024-05-08T13:51:39.747    Log Level: Info   Message:This order has no discounts
TimeStamp: 2024-05-08T13:51:39.747    Log Level: Info   Message:This order has a discount= 3.5
TimeStamp: 2024-05-08T13:51:39.748    Log Level: Info   Message:This order has a discount= 7.5
TimeStamp: 2024-05-08T13:51:39.748    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.749    Log Level: Info   Message:This order has a discount= 15.0
TimeStamp: 2024-05-08T13:51:39.749    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.749    Log Level: Info   Message:This order has a discount= 2.5
TimeStamp: 2024-05-08T13:51:39.751    Log Level: Info   Message:This order has a discount= 9.5
TimeStamp: 2024-05-08T13:51:39.751    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.752    Log Level: Info   Message:This order has a discount= 15.0
TimeStamp: 2024-05-08T13:51:39.752    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.753    Log Level: Info   Message:This order has a discount= 18.5
TimeStamp: 2024-05-08T13:51:39.754    Log Level: Info   Message:This order has a discount= 11.0
TimeStamp: 2024-05-08T13:51:39.754    Log Level: Info   Message:This order has a discount= 18.0
TimeStamp: 2024-05-08T13:51:39.755    Log Level: Info   Message:This order has a discount= 2.5
TimeStamp: 2024-05-08T13:51:39.755    Log Level: Info   Message:This order has a discount= 12.5
TimeStamp: 2024-05-08T13:51:39.756    Log Level: Info   Message:This order has a discount= 15.5
TimeStamp: 2024-05-08T13:51:39.756    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.757    Log Level: Info   Message:This order has a discount= 15.0
TimeStamp: 2024-05-08T13:51:39.757    Log Level: Info   Message:This order has a discount= 7.5
TimeStamp: 2024-05-08T13:51:39.757    Log Level: Info   Message:This order has no discounts
TimeStamp: 2024-05-08T13:51:39.758    Log Level: Info   Message:This order has a discount= 11.0
TimeStamp: 2024-05-08T13:51:39.758    Log Level: Info   Message:This order has a discount= 10.5
TimeStamp: 2024-05-08T13:51:39.759    Log Level: Info   Message:This order has a discount= 3.5
TimeStamp: 2024-05-08T13:51:39.759    Log Level: Info   Message:This order has a discount= 2.5
TimeStamp: 2024-05-08T13:51:39.759    Log Level: Info   Message:This order has a discount= 11.0
TimeStamp: 2024-05-08T13:51:39.759    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.760    Log Level: Info   Message:This order has a discount= 11.0
TimeStamp: 2024-05-08T13:51:39.760    Log Level: Info   Message:This order has a discount= 16.5
TimeStamp: 2024-05-08T13:51:39.761    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.761    Log Level: Info   Message:This order has a discount= 6.0
TimeStamp: 2024-05-08T13:51:39.762    Log Level: Info   Message:This order has a discount= 8.5
TimeStamp: 2024-05-08T13:51:39.762    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.762    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.767    Log Level: Info   Message:This order has a discount= 2.5
TimeStamp: 2024-05-08T13:51:39.768    Log Level: Info   Message:This order has no discounts
TimeStamp: 2024-05-08T13:51:39.768    Log Level: Info   Message:This order has a discount= 5.0
TimeStamp: 2024-05-08T13:51:39.769    Log Level: Info   Message:This order has a discount= 2.5
TimeStamp: 2024-05-08T13:51:39.769    Log Level: Info   Message:This order has a discount= 7.5
TimeStamp: 2024-05-08T13:51:39.770    Log Level: Info   Message:This order has a discount= 3.5
TimeStamp: 2024-05-08T13:51:39.770    Log Level: Info   Message:This order has a discount= 12.5
TimeStamp: 2024-05-08T13:51:39.770    Log Level: Info   Message:This order has a discount= 6.0
TimeStamp: 2024-05-08T13:51:39.771    Log Level: Info   Message:This order has a discount= 19.5
TimeStamp: 2024-05-08T13:51:39.771    Log Level: Info   Message:This order has a discount= 10.0
TimeStamp: 2024-05-08T13:51:39.772    Log Level: Info   Message:This order has a discount= 7.5
TimeStamp: 2024-05-08T13:51:39.776    Log Level: Info   Message:This order has a discount= 7.5
TimeStamp: 2024-05-08T13:51:39.777    Log Level: Info   Message:This order has a discount= 17.0
TimeStamp: 2024-05-08T13:51:39.777    Log Level: Info   Message:This order has no discounts
TimeStamp: 2024-05-08T13:51:39.778    Log Level: Info   Message:This order has a discount= 16.5
TimeStamp: 2024-05-08T13:51:39.778    Log Level: Info   Message:This order has no discounts
TimeStamp: 2024-05-08T13:51:39.779    Log Level: Info   Message:This order has no discounts
